# This file was produced by bcftools stats (1.22+htslib-1.22.1) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  results/variants.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	results/variants.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	27124
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	26989
SN	0	number of MNPs:	0
SN	0	number of indels:	135
SN	0	number of others:	0
SN	0	number of multiallelic sites:	1
SN	0	number of multiallelic SNP sites:	1
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	19514	7476	2.61	19514	7475	2.61
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	290	183	107	7	0	0	7
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	290	183	107	7	0	0	7
AF	0	0.990000	26700	19331	7369	128	0	0	128
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	3.0	1	1	0	0
QUAL	0	3.1	1	1	0	0
QUAL	0	3.2	251	179	72	0
QUAL	0	3.3	1	1	0	0
QUAL	0	3.6	2	1	1	0
QUAL	0	3.7	384	273	111	0
QUAL	0	3.8	1	0	1	0
QUAL	0	4.0	1	1	0	0
QUAL	0	4.2	1	1	0	0
QUAL	0	4.3	314	208	106	1
QUAL	0	4.9	3	2	1	0
QUAL	0	5.0	621	449	172	0
QUAL	0	5.1	1	1	0	0
QUAL	0	5.3	1	1	0	0
QUAL	0	5.4	1	1	0	0
QUAL	0	5.5	2	1	1	0
QUAL	0	5.6	2	1	1	0
QUAL	0	5.7	775	559	216	1
QUAL	0	5.8	1	1	0	0
QUAL	0	5.9	1	1	0	0
QUAL	0	6.0	2	0	2	0
QUAL	0	6.3	2	0	2	0
QUAL	0	6.5	1939	1384	555	0
QUAL	0	7.1	1	0	1	0
QUAL	0	7.3	337	231	106	0
QUAL	0	7.4	1	1	0	0
QUAL	0	7.6	1	1	0	1
QUAL	0	8.0	2	1	1	0
QUAL	0	8.1	450	317	133	0
QUAL	0	8.4	1	1	0	0
QUAL	0	8.5	1	1	0	0
QUAL	0	8.7	3	2	1	0
QUAL	0	8.8	2	1	1	1
QUAL	0	8.9	363	265	98	2
QUAL	0	9.0	1	0	1	1
QUAL	0	9.2	1	0	1	0
QUAL	0	9.7	0	0	0	1
QUAL	0	9.8	463	332	131	0
QUAL	0	10.0	1	1	0	0
QUAL	0	10.4	1	1	0	0
QUAL	0	10.5	2	1	1	0
QUAL	0	10.7	522	368	154	0
QUAL	0	10.8	1	0	1	0
QUAL	0	11.3	1	1	0	0
QUAL	0	11.5	2	2	0	0
QUAL	0	11.6	3	2	1	0
QUAL	0	11.7	729	533	196	0
QUAL	0	11.8	3	3	0	0
QUAL	0	11.9	2	1	1	0
QUAL	0	12.0	2	2	0	0
QUAL	0	12.1	3	0	3	0
QUAL	0	12.2	2	0	2	0
QUAL	0	12.4	1	1	0	0
QUAL	0	12.6	33	28	5	0
QUAL	0	13.3	2	0	2	0
QUAL	0	13.4	4	1	3	0
QUAL	0	13.5	0	0	0	1
QUAL	0	13.6	46	37	9	0
QUAL	0	14.1	1	0	1	0
QUAL	0	14.5	39	29	10	1
QUAL	0	14.7	1	1	0	0
QUAL	0	14.8	2	2	0	0
QUAL	0	15.1	4	2	2	0
QUAL	0	15.2	5	1	4	0
QUAL	0	15.3	3	1	2	0
QUAL	0	15.5	38	24	14	1
QUAL	0	16.2	1	1	0	0
QUAL	0	16.4	1	1	0	0
QUAL	0	16.5	26	18	8	1
QUAL	0	16.8	2	0	2	0
QUAL	0	17.2	1	1	0	0
QUAL	0	17.4	35	25	10	0
QUAL	0	18.1	1	1	0	0
QUAL	0	18.2	5	4	1	0
QUAL	0	18.3	3	2	1	0
QUAL	0	18.4	44	31	13	1
QUAL	0	19.0	1	0	1	0
QUAL	0	19.4	59	43	16	0
QUAL	0	20.4	58	47	11	0
QUAL	0	20.8	2	1	1	0
QUAL	0	20.9	1	1	0	0
QUAL	0	21.0	2	2	0	0
QUAL	0	21.1	8	7	1	0
QUAL	0	21.2	9	7	2	0
QUAL	0	21.4	64	45	19	3
QUAL	0	21.5	0	0	0	1
QUAL	0	21.9	1	1	0	0
QUAL	0	22.0	1	0	1	0
QUAL	0	22.1	2	1	1	0
QUAL	0	22.4	54	41	13	5
QUAL	0	23.3	1	1	0	0
QUAL	0	23.4	66	44	22	0
QUAL	0	23.7	1	1	0	0
QUAL	0	23.9	1	1	0	0
QUAL	0	24.0	1	1	0	0
QUAL	0	24.1	0	0	0	1
QUAL	0	24.3	1	1	0	0
QUAL	0	24.4	92	76	16	2
QUAL	0	24.7	1	1	0	0
QUAL	0	25.2	0	0	0	1
QUAL	0	25.4	114	83	31	4
